epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8837,4.51869,267.811,2.80777,2e-05,0.00168,1e-05,0,2.70345,66.4949,2.32305,0.00327957,0.00327957,0.00327957
2,80.9539,3.86847,5.96412,2.41098,0.01046,0.16821,0.00649,0.00192,3.71473,4.14576,1.78102,0.00659981,0.00659981,0.00659981
3,126.452,2.79417,2.33215,1.21618,0.01042,0.40538,0.00832,0.00231,2.64433,11.6463,1.39134,0.00990685,0.00990685,0.00990685
4,167.773,2.21946,1.70024,1.02914,0.43441,0.52733,0.42159,0.15885,2.16669,2.02755,0.96348,0.0099406,0.0099406,0.0099406
5,210.573,1.90473,1.34802,0.9556,0.59484,0.64676,0.59165,0.24485,1.8368,1.58586,0.93012,0.0099208,0.0099208,0.0099208
6,250.88,1.72866,1.21006,0.93313,0.64352,0.54668,0.57033,0.26681,1.77888,1.55311,0.9076,0.009901,0.009901,0.009901
7,293.229,1.62999,1.07457,0.91362,0.78706,0.73363,0.76437,0.38138,1.63575,1.16287,0.90538,0.0098812,0.0098812,0.0098812
8,333.135,1.57133,1.06556,0.90937,0.83282,0.73423,0.81929,0.43046,1.4971,1.00342,0.88387,0.0098614,0.0098614,0.0098614
9,375.661,1.53417,0.99474,0.89656,0.8535,0.73591,0.83128,0.49474,1.43047,0.9989,0.87684,0.0098416,0.0098416,0.0098416
10,416.421,1.47415,0.94982,0.90198,0.88437,0.75189,0.8626,0.51737,1.42428,1.00264,0.88641,0.0098218,0.0098218,0.0098218
11,458.568,1.45714,0.93835,0.89717,0.85636,0.79731,0.86936,0.50623,1.34242,0.84126,0.87132,0.009802,0.009802,0.009802
12,498.697,1.41265,0.88686,0.88006,0.84104,0.79983,0.85061,0.50773,1.27676,0.87143,0.86215,0.0097822,0.0097822,0.0097822
13,539.683,1.40593,0.89069,0.87571,0.86297,0.79394,0.87629,0.52841,1.35511,0.9062,0.86737,0.0097624,0.0097624,0.0097624
14,581.685,1.36437,0.86518,0.87419,0.8524,0.82082,0.87457,0.54482,1.29676,0.82874,0.86319,0.0097426,0.0097426,0.0097426
15,625.186,1.33753,0.82196,0.87097,0.89073,0.82506,0.9018,0.58666,1.17843,0.73715,0.85916,0.0097228,0.0097228,0.0097228
16,665.681,1.30785,0.80588,0.87291,0.88079,0.81497,0.89468,0.58204,1.22319,0.80017,0.85453,0.009703,0.009703,0.009703
17,707.514,1.30629,0.8201,0.86567,0.89619,0.84357,0.90534,0.54739,1.33905,0.78821,0.86264,0.0096832,0.0096832,0.0096832
18,747.944,1.3067,0.81701,0.85923,0.83229,0.7275,0.81947,0.51723,1.29263,0.97286,0.8672,0.0096634,0.0096634,0.0096634
19,788.735,1.29023,0.77634,0.86072,0.88835,0.84525,0.90184,0.55613,1.20698,0.72,0.845,0.0096436,0.0096436,0.0096436
20,829.446,1.27241,0.76738,0.86157,0.87181,0.78936,0.87185,0.58477,1.15277,0.77886,0.85127,0.0096238,0.0096238,0.0096238
21,869.964,1.26394,0.76898,0.87228,0.88812,0.80119,0.88079,0.54884,1.31974,0.83195,0.86747,0.009604,0.009604,0.009604
22,911.807,1.25752,0.76079,0.86311,0.89639,0.82223,0.90462,0.61012,1.11256,0.73114,0.83923,0.0095842,0.0095842,0.0095842
23,951.838,1.23102,0.74051,0.85632,0.89545,0.85366,0.91736,0.58964,1.21087,0.69876,0.85351,0.0095644,0.0095644,0.0095644
24,994.445,1.22295,0.7466,0.85572,0.87524,0.84372,0.91299,0.62543,1.09753,0.70067,0.84076,0.0095446,0.0095446,0.0095446
25,1034.04,1.20931,0.74249,0.85585,0.90348,0.85114,0.91871,0.60254,1.19246,0.67227,0.84955,0.0095248,0.0095248,0.0095248
26,1074.89,1.22859,0.72755,0.85414,0.91679,0.83684,0.92165,0.63398,1.08668,0.66395,0.83947,0.009505,0.009505,0.009505
27,1115.62,1.20724,0.72076,0.85933,0.90292,0.86048,0.92191,0.62289,1.11365,0.66754,0.83831,0.0094852,0.0094852,0.0094852
28,1157.33,1.17509,0.72787,0.84568,0.89748,0.86145,0.92208,0.62379,1.11162,0.67154,0.83458,0.0094654,0.0094654,0.0094654
29,1199.02,1.18669,0.68819,0.84705,0.92265,0.86274,0.929,0.63849,1.1065,0.69871,0.83642,0.0094456,0.0094456,0.0094456
30,1238.93,1.17557,0.69601,0.84409,0.90422,0.86712,0.92115,0.60615,1.13175,0.6895,0.83438,0.0094258,0.0094258,0.0094258
31,1279.16,1.15836,0.66915,0.84753,0.89585,0.85367,0.92057,0.6327,1.09811,0.64628,0.83854,0.009406,0.009406,0.009406
