epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0734,1.63029,4.30062,0.90073,0.80784,0.74264,0.81892,0.49729,1.38315,1.56505,0.8402,0.000663946,0.000663946,0.000663946
2,30.61,1.53213,1.74412,0.86718,0.84271,0.75105,0.83911,0.50226,1.3988,1.03337,0.84348,0.00131744,0.00131744,0.00131744
3,44.8239,1.52865,1.2339,0.87882,0.82684,0.72161,0.82134,0.4897,1.42545,1.32591,0.85488,0.00195773,0.00195773,0.00195773
4,59.23,1.45517,1.09106,0.86863,0.87308,0.80824,0.88487,0.55043,1.35962,0.87146,0.84654,0.0019406,0.0019406,0.0019406
5,73.6164,1.39458,0.97232,0.86065,0.89417,0.81329,0.88834,0.56235,1.3066,0.87609,0.84597,0.0019208,0.0019208,0.0019208
6,87.9277,1.36638,0.94944,0.85358,0.86925,0.794,0.88707,0.55349,1.28264,1.00846,0.83623,0.001901,0.001901,0.001901
7,102.021,1.36268,0.90823,0.85769,0.90532,0.82032,0.89899,0.58971,1.26294,0.80477,0.85175,0.0018812,0.0018812,0.0018812
8,115.964,1.32442,0.88431,0.84983,0.86629,0.80102,0.8783,0.57797,1.29515,0.89305,0.84826,0.0018614,0.0018614,0.0018614
9,129.846,1.31262,0.85978,0.84958,0.8779,0.82759,0.9025,0.60006,1.22648,0.74058,0.84393,0.0018416,0.0018416,0.0018416
10,143.682,1.31308,0.83552,0.84551,0.90684,0.82675,0.9086,0.60378,1.19005,0.7889,0.8399,0.0018218,0.0018218,0.0018218
11,157.607,1.29383,0.8337,0.85009,0.89088,0.84458,0.91508,0.61646,1.18422,0.7334,0.83436,0.001802,0.001802,0.001802
12,174.105,1.2725,0.83888,0.84743,0.86924,0.8107,0.89333,0.58323,1.30744,0.83631,0.84966,0.0017822,0.0017822,0.0017822
13,190.661,1.26557,0.81284,0.84714,0.9081,0.83104,0.91208,0.64119,1.08281,0.72604,0.83036,0.0017624,0.0017624,0.0017624
14,207.24,1.25767,0.80796,0.84585,0.88695,0.85198,0.91703,0.60674,1.18871,0.7426,0.82934,0.0017426,0.0017426,0.0017426
15,223.855,1.22971,0.7831,0.84262,0.89945,0.8074,0.90942,0.64183,1.11469,0.82789,0.82929,0.0017228,0.0017228,0.0017228
16,240.47,1.21938,0.78329,0.83524,0.93644,0.8178,0.91697,0.60398,1.21785,0.73785,0.82881,0.001703,0.001703,0.001703
17,257.49,1.21815,0.76944,0.83653,0.88554,0.8402,0.91227,0.63283,1.12718,0.73083,0.8285,0.0016832,0.0016832,0.0016832
18,274.411,1.20339,0.76026,0.83144,0.88442,0.83347,0.9134,0.64104,1.11958,0.71547,0.82266,0.0016634,0.0016634,0.0016634
19,291.283,1.19961,0.76153,0.83418,0.90234,0.85198,0.91751,0.65128,1.09335,0.68876,0.82254,0.0016436,0.0016436,0.0016436
20,308.15,1.20452,0.75868,0.83697,0.90191,0.83519,0.91516,0.61518,1.19247,0.71191,0.82983,0.0016238,0.0016238,0.0016238
21,325.131,1.19025,0.74464,0.8391,0.90095,0.85198,0.91959,0.60876,1.17175,0.77088,0.82741,0.001604,0.001604,0.001604
22,342.105,1.18092,0.74637,0.82894,0.92412,0.83996,0.92868,0.63882,1.11466,0.68903,0.82032,0.0015842,0.0015842,0.0015842
23,359.077,1.17634,0.72648,0.83328,0.89559,0.87132,0.93218,0.66357,1.04557,0.68878,0.82033,0.0015644,0.0015644,0.0015644
24,376.014,1.17055,0.72491,0.83212,0.91818,0.873,0.93385,0.64294,1.13664,0.66153,0.82079,0.0015446,0.0015446,0.0015446
25,392.947,1.15457,0.71702,0.82919,0.89575,0.873,0.93066,0.65431,1.08417,0.65648,0.82337,0.0015248,0.0015248,0.0015248
26,409.814,1.12764,0.68228,0.8281,0.91028,0.87132,0.9322,0.61897,1.19732,0.69438,0.82368,0.001505,0.001505,0.001505
27,426.721,1.17398,0.70771,0.82961,0.92828,0.8587,0.93026,0.65963,1.10224,0.66883,0.82283,0.0014852,0.0014852,0.0014852
28,443.61,1.12443,0.68149,0.82698,0.88825,0.88394,0.93356,0.64227,1.10182,0.65916,0.82273,0.0014654,0.0014654,0.0014654
29,460.506,1.14056,0.6904,0.82919,0.88721,0.87988,0.93242,0.64837,1.11987,0.65066,0.82779,0.0014456,0.0014456,0.0014456
30,477.363,1.13534,0.6856,0.826,0.90868,0.87872,0.93702,0.66643,1.01602,0.65124,0.81739,0.0014258,0.0014258,0.0014258
31,494.226,1.10424,0.66435,0.82351,0.9321,0.8587,0.93802,0.65943,1.06639,0.61669,0.81896,0.001406,0.001406,0.001406
