epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13025,1.30222,3.43892,1.09832,0.00176,0.23684,0.0013,0.0008,0.86008,3.44717,0.86578,0.00043342,0.00043342,0.00043342
2,5.03981,1.00335,1.60402,0.91992,0.00499,0.59882,0.05573,0.04446,0.97567,3.6833,0.8932,0.000874763,0.000874763,0.000874763
3,6.90178,0.95508,1.377,0.90956,0.94839,0.53822,0.73582,0.47513,0.99958,1.87245,0.9143,0.00130719,0.00130719,0.00130719
4,8.69702,0.93648,1.23015,0.90645,0.90032,0.76538,0.80565,0.51339,0.96249,1.10685,0.90244,0.00161749,0.00161749,0.00161749
5,10.4525,0.95469,1.14511,0.91292,0.85912,0.78061,0.80582,0.53172,0.90326,1.08437,0.88429,0.00160099,0.00160099,0.00160099
6,12.2001,0.92993,1.02339,0.90001,0.80986,0.77848,0.79488,0.51458,0.96185,0.80538,0.90017,0.00158448,0.00158448,0.00158448
7,13.9476,0.92,0.98213,0.90787,0.82492,0.79114,0.81846,0.53633,0.90878,0.72402,0.89796,0.00156798,0.00156798,0.00156798
8,15.6973,0.87997,0.8681,0.88936,0.90768,0.77158,0.81474,0.5345,0.88183,0.57044,0.89875,0.00155148,0.00155148,0.00155148
9,17.4331,0.89972,0.79231,0.89904,0.87572,0.74254,0.79941,0.54252,0.85708,0.62228,0.87799,0.00153497,0.00153497,0.00153497
10,19.1835,0.84246,0.74155,0.89056,0.90908,0.75316,0.82401,0.55439,0.84335,0.61378,0.89122,0.00151847,0.00151847,0.00151847
11,20.9239,0.87294,0.71911,0.90691,0.91912,0.79033,0.86533,0.57192,0.8717,0.54943,0.8833,0.00150197,0.00150197,0.00150197
