epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21141,1.90223,2.7786,1.31835,0.03548,0.3391,0.2228,0.1126,1.35005,3.00905,1.07114,0.00037154,0.00037154,0.00037154
2,5.16059,1.58066,1.39311,1.16233,1,0.22342,0.6026,0.36113,1.53045,2.4627,1.16057,0.000749872,0.000749872,0.000749872
3,7.04513,1.49682,1.19807,1.11998,0.97379,0.56222,0.62809,0.39971,1.57686,1.69958,1.12653,0.00112056,0.00112056,0.00112056
4,8.89764,1.46267,1.09855,1.10108,0.95496,0.59731,0.64189,0.40198,1.5413,1.31538,1.1354,0.00138656,0.00138656,0.00138656
5,10.7754,1.52665,1.11937,1.13052,0.84802,0.67219,0.75122,0.47305,1.43192,1.05484,1.12262,0.00137241,0.00137241,0.00137241
6,12.6597,1.45265,1.05038,1.10229,0.91607,0.68493,0.79294,0.49069,1.40766,0.96203,1.12499,0.00135826,0.00135826,0.00135826
7,14.6411,1.41673,0.98711,1.08232,0.87076,0.7371,0.79815,0.49623,1.33065,0.89567,1.06471,0.00134412,0.00134412,0.00134412
8,16.5723,1.38475,0.94908,1.07507,0.87776,0.73276,0.82092,0.52138,1.37918,0.8654,1.10997,0.00132997,0.00132997,0.00132997
9,18.4589,1.4062,0.91694,1.07786,0.8475,0.77082,0.82217,0.49973,1.4123,0.86372,1.12241,0.00131582,0.00131582,0.00131582
10,20.3861,1.40414,0.92966,1.07326,0.87076,0.79071,0.83149,0.52586,1.32408,0.81571,1.0965,0.00130168,0.00130168,0.00130168
11,22.301,1.34697,0.87249,1.05668,0.8616,0.80427,0.84097,0.53927,1.32441,0.79203,1.07934,0.00128753,0.00128753,0.00128753
12,24.1493,1.34927,0.86386,1.05251,0.8411,0.79868,0.83444,0.50783,1.42895,0.83735,1.13579,0.00127338,0.00127338,0.00127338
13,25.9723,1.34094,0.84777,1.06987,0.86943,0.78988,0.83924,0.52124,1.37057,0.80138,1.10324,0.00125923,0.00125923,0.00125923
14,27.79,1.39547,0.84895,1.07331,0.89529,0.80414,0.85424,0.53208,1.32227,0.77636,1.07114,0.00124509,0.00124509,0.00124509
15,29.6813,1.34965,0.82228,1.04767,0.91389,0.78993,0.85283,0.5142,1.39752,0.76022,1.10542,0.00123094,0.00123094,0.00123094
16,31.6303,1.34321,0.80951,1.04296,0.8419,0.78984,0.84879,0.5255,1.33825,0.74388,1.07801,0.00121679,0.00121679,0.00121679
