epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30153,5.81118,4.77295,4.22875,0,0,0,0,5.81705,4.17118,4.15814,0.00010002,0.00010002,0.00010002
2,12.5704,5.73361,4.32128,4.09997,0,0,0,0,5.81323,4.13983,4.14949,0.000216281,0.000216281,0.000216281
3,18.0856,5.35684,3.44004,3.7867,0,0,0,0,5.80413,3.98932,4.13813,0.00033208,0.00033208,0.00033208
4,23.6275,4.57893,2.71044,3.54363,0,0,0,0,5.80666,3.96828,4.14428,0.000447416,0.000447416,0.000447416
5,29.4653,4.0055,2.29547,3.2001,0,0,0,0,5.82271,4.02021,4.16411,0.000562291,0.000562291,0.000562291
6,35.4631,3.37177,2.01722,2.86611,0,0,0,0,5.81911,4.0584,4.16433,0.000676704,0.000676704,0.000676704
7,41.0934,3.14664,1.91573,2.70621,0,0,0,0,5.77909,4.09777,4.1056,0.000790654,0.000790654,0.000790654
8,46.493,2.92863,1.77437,2.5059,0,0,0,0,5.81002,4.03183,4.13724,0.000904142,0.000904142,0.000904142
9,51.9966,2.79028,1.69125,2.35744,0,0,0,0,5.81741,3.78945,4.12922,0.00101717,0.00101717,0.00101717
10,57.7894,2.56921,1.53942,2.20198,0,0,0,0,5.86354,3.82596,4.20173,0.00112973,0.00112973,0.00112973
11,63.6717,2.48686,1.49086,2.12133,0.00014,0.00165,0.00021,2e-05,5.62344,3.84593,3.97362,0.00124183,0.00124183,0.00124183
12,69.2889,2.3931,1.42508,2.07201,0.00067,0.00717,0.00283,0.00112,5.23475,4.21305,3.68719,0.00135347,0.00135347,0.00135347
13,74.7931,2.27552,1.35906,1.97048,0.5317,0.00496,0.00174,0.00072,5.39831,3.73958,3.95065,0.00146465,0.00146465,0.00146465
14,80.6204,2.15635,1.30247,1.87071,0.54608,0.03363,0.01428,0.003,4.36429,2.60305,3.62005,0.00157537,0.00157537,0.00157537
15,86.266,2.17839,1.25541,1.86497,0.68452,0.13175,0.12897,0.03663,3.15772,2.02999,2.78084,0.00162079,0.00162079,0.00162079
16,92.1699,2.05025,1.17606,1.77174,0.61044,0.35555,0.37503,0.15779,2.64985,1.68918,2.44659,0.00161749,0.00161749,0.00161749
17,97.8393,1.99062,1.13075,1.71498,0.55145,0.38087,0.40543,0.17334,2.69765,1.5686,2.46427,0.00161419,0.00161419,0.00161419
18,103.695,1.95708,1.09087,1.6637,0.73659,0.49588,0.56688,0.26495,2.08121,1.32589,2.00463,0.00161089,0.00161089,0.00161089
19,109.132,1.8795,1.07496,1.58954,0.70705,0.68187,0.74198,0.35972,2.13166,1.32761,2.04143,0.00160759,0.00160759,0.00160759
20,114.603,1.79917,1.02927,1.56666,0.84736,0.82141,0.83603,0.46741,1.80133,1.15708,1.7703,0.00160429,0.00160429,0.00160429
21,120.06,1.80025,0.99799,1.54454,0.9136,0.79834,0.86303,0.5033,1.73999,1.08412,1.72216,0.00160099,0.00160099,0.00160099
22,125.742,1.73065,0.96765,1.48814,0.91612,0.81992,0.87334,0.51187,1.71391,1.04366,1.65586,0.00159769,0.00159769,0.00159769
23,131.219,1.71346,0.9649,1.46748,0.8478,0.79723,0.85865,0.50321,1.84956,1.09565,1.72475,0.00159439,0.00159439,0.00159439
24,136.385,1.70229,0.93365,1.4433,0.91001,0.81735,0.87709,0.54557,1.69665,0.9867,1.63545,0.00159108,0.00159108,0.00159108
25,141.878,1.61608,0.90437,1.41557,0.90537,0.8485,0.8986,0.57889,1.58273,0.96566,1.52918,0.00158778,0.00158778,0.00158778
26,147.34,1.63629,0.90778,1.39289,0.93677,0.87882,0.91969,0.52979,1.71588,1.22655,1.69748,0.00158448,0.00158448,0.00158448
27,152.552,1.59425,0.88002,1.3813,0.94394,0.88985,0.92351,0.59985,1.53774,0.97874,1.49946,0.00158118,0.00158118,0.00158118
