epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50399,1.62429,1.77321,1.21114,0.68421,0.84764,0.78599,0.50868,1.46708,2.3856,1.16938,0.00043342,0.00043342,0.00043342
2,11.7877,1.44698,0.92961,1.12482,0.78788,0.73187,0.75834,0.50532,1.6128,1.53528,1.35354,0.000874763,0.000874763,0.000874763
3,17.0417,1.43373,0.93063,1.13775,0.86618,0.82551,0.8784,0.58941,1.4682,1.31517,1.28787,0.00130719,0.00130719,0.00130719
4,22.4848,1.40934,0.86516,1.12256,0.88639,0.82037,0.88135,0.55345,1.56972,1.00533,1.29451,0.00161749,0.00161749,0.00161749
5,27.9905,1.40225,0.83091,1.13815,0.73595,0.80507,0.90223,0.60927,1.39448,1.26148,1.25486,0.00160099,0.00160099,0.00160099
6,33.2626,1.42194,0.85649,1.14114,0.93534,0.88985,0.92549,0.62417,1.40388,0.97052,1.2483,0.00158448,0.00158448,0.00158448
7,38.532,1.37817,0.79978,1.10911,0.92934,0.87884,0.91993,0.62292,1.39482,0.93032,1.24979,0.00156798,0.00156798,0.00156798
8,43.7306,1.35856,0.77473,1.11876,0.94502,0.8893,0.93515,0.63664,1.40577,0.79308,1.19786,0.00155148,0.00155148,0.00155148
9,49.0313,1.35807,0.75434,1.10618,0.9325,0.90479,0.93768,0.65101,1.34834,0.80264,1.20181,0.00153497,0.00153497,0.00153497
10,54.3222,1.35446,0.75207,1.10455,0.9434,0.88309,0.9263,0.61623,1.45197,0.91826,1.27074,0.00151847,0.00151847,0.00151847
11,59.5288,1.29878,0.72112,1.08723,0.93685,0.89162,0.92899,0.62084,1.45363,0.82672,1.26865,0.00150197,0.00150197,0.00150197
12,64.7506,1.29925,0.7076,1.0786,0.95928,0.88968,0.93618,0.6512,1.3755,0.74561,1.17466,0.00148546,0.00148546,0.00148546
13,70.0531,1.28334,0.69008,1.09431,0.96282,0.89797,0.93423,0.65742,1.34471,0.74389,1.1834,0.00146896,0.00146896,0.00146896
14,75.3194,1.33448,0.71472,1.10907,0.95623,0.9141,0.93748,0.65708,1.28076,0.76256,1.17084,0.00145246,0.00145246,0.00145246
15,80.5913,1.27565,0.67766,1.07224,0.95926,0.91338,0.9491,0.66521,1.33182,0.7305,1.20592,0.00143595,0.00143595,0.00143595
16,85.8799,1.29846,0.6745,1.08373,0.96432,0.91355,0.94831,0.66614,1.32581,0.67598,1.19641,0.00141945,0.00141945,0.00141945
17,91.184,1.28495,0.68031,1.07445,0.9587,0.9119,0.94967,0.66893,1.34627,0.71249,1.1826,0.00140295,0.00140295,0.00140295
18,96.4351,1.27886,0.66832,1.0659,0.96154,0.91121,0.94544,0.66065,1.3575,0.7153,1.16706,0.00138644,0.00138644,0.00138644
19,101.681,1.26452,0.65273,1.06884,0.95955,0.92231,0.95066,0.66138,1.37892,0.6727,1.18339,0.00136994,0.00136994,0.00136994
20,106.954,1.25742,0.65187,1.06678,0.96645,0.91304,0.9541,0.68661,1.28055,0.64312,1.1382,0.00135344,0.00135344,0.00135344
21,112.275,1.25462,0.63752,1.0576,0.96212,0.91686,0.94516,0.66108,1.30622,0.65463,1.17135,0.00133693,0.00133693,0.00133693
22,117.531,1.23911,0.6332,1.0661,0.94888,0.89591,0.92913,0.6387,1.37553,0.7012,1.19112,0.00132043,0.00132043,0.00132043
23,122.724,1.22861,0.63037,1.04933,0.96048,0.92237,0.95867,0.68489,1.31814,0.64516,1.16461,0.00130393,0.00130393,0.00130393
24,127.934,1.23262,0.60979,1.06075,0.96964,0.92292,0.95265,0.69043,1.29901,0.62253,1.17218,0.00128742,0.00128742,0.00128742
25,133.22,1.21943,0.62155,1.05728,0.97215,0.91624,0.95255,0.682,1.29997,0.65182,1.14989,0.00127092,0.00127092,0.00127092
26,138.584,1.21283,0.60586,1.04724,0.9636,0.91851,0.9512,0.68864,1.26302,0.63887,1.1436,0.00125442,0.00125442,0.00125442
27,143.755,1.1968,0.59705,1.04639,0.94722,0.90435,0.93373,0.63067,1.39659,0.70743,1.19517,0.00123791,0.00123791,0.00123791
