epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.35909,1.86013,2.5101,1.31544,0.03418,0.76904,0.26923,0.11918,1.40786,2.85402,1.11566,0.00043342,0.00043342,0.00043342
2,5.25429,1.59355,1.36159,1.15973,0.9425,0.51657,0.85294,0.50401,1.50805,2.26928,1.17688,0.000874763,0.000874763,0.000874763
3,7.15794,1.51576,1.18956,1.13321,0.91653,0.80701,0.89236,0.54573,1.54546,1.60642,1.14691,0.00130719,0.00130719,0.00130719
4,9.04162,1.47258,1.08648,1.10816,0.92896,0.87583,0.90928,0.55626,1.52448,1.25886,1.15868,0.00161749,0.00161749,0.00161749
5,10.9207,1.51753,1.08712,1.13151,0.94419,0.86897,0.91779,0.60928,1.41519,1.03955,1.13117,0.00160099,0.00160099,0.00160099
6,12.8038,1.42153,1.02265,1.09855,0.95046,0.88268,0.92347,0.62737,1.39587,0.95952,1.14209,0.00158448,0.00158448,0.00158448
7,14.6791,1.41244,0.9609,1.08673,0.94764,0.88607,0.92387,0.62841,1.37803,0.95334,1.13394,0.00156798,0.00156798,0.00156798
8,16.5419,1.39005,0.92984,1.08396,0.94465,0.89316,0.92801,0.63361,1.33917,0.85638,1.10673,0.00155148,0.00155148,0.00155148
9,18.3922,1.42524,0.90702,1.08581,0.95299,0.89316,0.92899,0.63439,1.37826,0.85528,1.11778,0.00153497,0.00153497,0.00153497
10,20.2456,1.41736,0.92875,1.08269,0.95512,0.8814,0.9271,0.63593,1.34369,0.84085,1.1105,0.00151847,0.00151847,0.00151847
11,22.0833,1.3621,0.87905,1.06733,0.94222,0.89903,0.93452,0.6509,1.30714,0.77903,1.08833,0.00150197,0.00150197,0.00150197
12,23.9159,1.3747,0.85595,1.06354,0.94278,0.87221,0.91874,0.59847,1.49005,0.88203,1.16405,0.00148546,0.00148546,0.00148546
