epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.266,5.69338,4.36598,4.00406,0,0,0,0,5.03071,3.94295,3.62803,0.0766,0.0026,0.0026
2,5.27099,4.56543,3.51378,3.37396,0.00027,0.00937,0.00014,5e-05,3.56822,3.47873,3.19829,0.0522895,0.00528951,0.00528951
3,7.2576,3.7049,3.00417,2.956,0.0004,0.01047,0.00021,6e-05,3.50854,3.37644,3.11018,0.0279683,0.00796832,0.00796832
4,9.12977,3.42128,2.66914,2.68049,0.5255,0.13341,0.02021,0.0063,3.22996,2.99454,2.94774,0.0099406,0.0099406,0.0099406
5,10.9818,3.22829,2.48073,2.52764,0.62871,0.14443,0.09746,0.02767,2.82514,2.76747,2.66959,0.0099208,0.0099208,0.0099208
6,12.9092,2.97205,2.30854,2.41703,0.64236,0.20397,0.12972,0.03771,2.53187,5.713,2.48484,0.009901,0.009901,0.009901
7,14.7899,2.76262,2.10067,2.26998,0.66425,0.1742,0.1351,0.03572,2.89691,9.11429,2.81467,0.0098812,0.0098812,0.0098812
8,16.5837,2.63062,1.92076,2.17211,0.70062,0.20893,0.21832,0.06182,2.64132,3.22679,2.45892,0.0098614,0.0098614,0.0098614
9,18.3818,2.49226,1.75783,2.04458,0.77725,0.25579,0.30459,0.10404,2.27143,3.00316,2.20567,0.0098416,0.0098416,0.0098416
10,20.1762,2.40348,1.71274,1.96211,0.82635,0.328,0.42733,0.16608,2.0431,2.29413,2.01303,0.0098218,0.0098218,0.0098218
11,21.9435,2.29984,1.57646,1.90677,0.72074,0.4838,0.61806,0.25157,2.14682,1.68339,2.07544,0.009802,0.009802,0.009802
12,23.7446,2.22854,1.4821,1.81916,0.61611,0.41904,0.49225,0.19416,2.10103,1.80776,1.99073,0.0097822,0.0097822,0.0097822
13,25.5254,2.18568,1.46906,1.82945,0.68049,0.57963,0.63216,0.31404,1.90418,1.41505,1.85711,0.0097624,0.0097624,0.0097624
14,27.3112,2.11499,1.38782,1.76218,0.69767,0.66389,0.69742,0.33393,2.3072,1.4771,2.14939,0.0097426,0.0097426,0.0097426
15,29.0902,2.07484,1.31828,1.69567,0.8145,0.71146,0.78754,0.41668,2.10235,1.34083,1.97003,0.0097228,0.0097228,0.0097228
16,30.8754,2.04132,1.30674,1.66647,0.79784,0.63772,0.74126,0.37849,1.86773,1.28649,1.79329,0.009703,0.009703,0.009703
17,32.6525,1.97273,1.28456,1.63436,0.81027,0.67028,0.78278,0.39582,2.06925,1.2553,1.95806,0.0096832,0.0096832,0.0096832
18,34.4332,1.94198,1.23767,1.6176,0.87351,0.6222,0.68749,0.37652,1.98044,1.3539,1.8726,0.0096634,0.0096634,0.0096634
19,36.2073,1.94385,1.22209,1.58526,0.73539,0.59153,0.68644,0.36173,1.82401,1.2634,1.76495,0.0096436,0.0096436,0.0096436
20,37.9777,1.89943,1.1967,1.58262,0.86451,0.74757,0.86472,0.50619,1.74072,1.16431,1.70692,0.0096238,0.0096238,0.0096238
21,39.755,1.82772,1.13106,1.52603,0.82875,0.80302,0.85956,0.4921,1.75456,1.15658,1.66625,0.009604,0.009604,0.009604
22,41.6003,1.81811,1.13584,1.55066,0.94231,0.81321,0.88808,0.53896,1.7047,1.06634,1.64588,0.0095842,0.0095842,0.0095842
23,43.3832,1.83189,1.12943,1.52312,0.93987,0.84296,0.89716,0.56294,1.63797,1.04278,1.61561,0.0095644,0.0095644,0.0095644
24,45.2033,1.78252,1.09347,1.49636,0.93462,0.84761,0.89638,0.56634,1.60572,1.0179,1.58228,0.0095446,0.0095446,0.0095446
25,46.959,1.76179,1.08552,1.48419,0.88382,0.8303,0.86213,0.51357,1.76153,1.12335,1.63372,0.0095248,0.0095248,0.0095248
26,48.7092,1.75484,1.0483,1.45803,0.95286,0.85218,0.89915,0.58058,1.56814,0.97841,1.55222,0.009505,0.009505,0.009505
27,50.4883,1.71902,1.03111,1.44493,0.90216,0.83999,0.89857,0.54986,1.69091,1.03095,1.62391,0.0094852,0.0094852,0.0094852
28,52.2591,1.71399,1.04446,1.43826,0.91717,0.85139,0.89413,0.56381,1.5976,1.01137,1.54366,0.0094654,0.0094654,0.0094654
29,54.0219,1.70983,1.03546,1.41259,0.9392,0.86653,0.91338,0.59141,1.55865,0.93891,1.53433,0.0094456,0.0094456,0.0094456
30,55.7997,1.66449,1.00263,1.40961,0.94123,0.85755,0.9106,0.58405,1.54239,0.94253,1.51637,0.0094258,0.0094258,0.0094258
31,57.5693,1.67921,0.99503,1.43045,0.90886,0.78588,0.89589,0.52454,1.61747,1.04188,1.57698,0.009406,0.009406,0.009406
32,59.3495,1.67482,1.02544,1.38835,0.92599,0.86104,0.90276,0.56886,1.59305,0.94993,1.53545,0.0093862,0.0093862,0.0093862
33,61.1113,1.65478,0.97173,1.39718,0.91821,0.83693,0.90613,0.57283,1.58686,0.97997,1.5212,0.0093664,0.0093664,0.0093664
34,62.8783,1.62126,0.96757,1.38469,0.95121,0.86682,0.91385,0.58569,1.54538,0.90694,1.51071,0.0093466,0.0093466,0.0093466
35,64.6264,1.62351,0.93691,1.38246,0.95252,0.88048,0.91941,0.58951,1.495,0.88919,1.46525,0.0093268,0.0093268,0.0093268
36,66.3841,1.60295,0.94565,1.35287,0.94144,0.87751,0.91518,0.5804,1.56261,0.93569,1.50413,0.009307,0.009307,0.009307
37,68.1343,1.61468,0.94688,1.36656,0.92762,0.87662,0.90515,0.58069,1.51249,0.98624,1.47169,0.0092872,0.0092872,0.0092872
38,69.904,1.62333,0.93982,1.35077,0.94277,0.88654,0.91921,0.60244,1.49172,0.87801,1.4519,0.0092674,0.0092674,0.0092674
39,71.6772,1.59813,0.92197,1.3439,0.94257,0.86758,0.90707,0.59235,1.59513,0.91904,1.51174,0.0092476,0.0092476,0.0092476
40,73.4465,1.59986,0.92163,1.35708,0.95548,0.86835,0.91981,0.60502,1.48769,0.86761,1.45877,0.0092278,0.0092278,0.0092278
41,75.2089,1.56034,0.88282,1.31907,0.94362,0.88413,0.91642,0.61181,1.45945,0.88871,1.43297,0.009208,0.009208,0.009208
42,76.9841,1.55711,0.9014,1.32394,0.94942,0.88434,0.92134,0.60238,1.51846,0.87363,1.44988,0.0091882,0.0091882,0.0091882
43,78.7615,1.56452,0.88965,1.33448,0.95373,0.88985,0.91935,0.61836,1.46284,0.85774,1.47563,0.0091684,0.0091684,0.0091684
44,80.5341,1.55039,0.87685,1.32053,0.94916,0.87758,0.91902,0.60401,1.5116,0.89801,1.45069,0.0091486,0.0091486,0.0091486
45,82.298,1.57711,0.90531,1.32167,0.95612,0.88987,0.92652,0.629,1.43255,0.83469,1.41684,0.0091288,0.0091288,0.0091288
46,84.077,1.53846,0.87294,1.31305,0.95741,0.88103,0.92409,0.6275,1.46022,0.82044,1.41641,0.009109,0.009109,0.009109
47,85.8435,1.53651,0.87052,1.30331,0.93757,0.87827,0.90987,0.56979,1.60837,0.89018,1.51462,0.0090892,0.0090892,0.0090892
48,87.6127,1.5369,0.87443,1.30178,0.95709,0.88323,0.92434,0.62002,1.43138,0.82577,1.40284,0.0090694,0.0090694,0.0090694
49,89.6495,1.56059,0.87968,1.31692,0.95129,0.89371,0.9273,0.62583,1.45027,0.81998,1.41001,0.0090496,0.0090496,0.0090496
50,91.941,1.54035,0.85858,1.29431,0.95595,0.88434,0.91992,0.62146,1.4651,0.84318,1.44158,0.0090298,0.0090298,0.0090298
51,94.2958,1.5079,0.85098,1.28807,0.95394,0.89404,0.92953,0.63665,1.40996,0.79918,1.39294,0.00901,0.00901,0.00901
52,96.6716,1.49746,0.83255,1.27479,0.9171,0.83637,0.88683,0.54736,1.73713,0.93684,1.54343,0.0089902,0.0089902,0.0089902
53,99.0183,1.50809,0.84774,1.29592,0.95363,0.87745,0.92884,0.62433,1.44834,0.81886,1.39741,0.0089704,0.0089704,0.0089704
54,101.405,1.49249,0.82455,1.27378,0.95007,0.89591,0.92685,0.61869,1.44228,0.81781,1.42725,0.0089506,0.0089506,0.0089506
55,103.783,1.49899,0.83085,1.29732,0.95681,0.88886,0.93049,0.63166,1.42931,0.7961,1.3915,0.0089308,0.0089308,0.0089308
56,106.157,1.48272,0.81774,1.26186,0.94607,0.8923,0.92244,0.62354,1.44651,0.79254,1.392,0.008911,0.008911,0.008911
57,108.519,1.50427,0.83203,1.28952,0.94097,0.85236,0.91433,0.59802,1.53973,0.84026,1.44628,0.0088912,0.0088912,0.0088912
58,110.899,1.49538,0.83569,1.27505,0.94741,0.89591,0.92709,0.62522,1.46234,0.79643,1.40754,0.0088714,0.0088714,0.0088714
59,113.295,1.47982,0.80679,1.26669,0.95943,0.90253,0.93336,0.63501,1.43662,0.76659,1.38419,0.0088516,0.0088516,0.0088516
60,115.683,1.46231,0.81343,1.26987,0.96051,0.89481,0.92714,0.62326,1.43075,0.76572,1.39704,0.0088318,0.0088318,0.0088318
61,118.079,1.46108,0.8005,1.26799,0.96573,0.89316,0.93438,0.62797,1.45792,0.77786,1.40152,0.008812,0.008812,0.008812
62,120.461,1.47954,0.80017,1.24709,0.96244,0.89384,0.93266,0.61905,1.46395,0.76866,1.40164,0.0087922,0.0087922,0.0087922
63,122.591,1.46739,0.81307,1.2668,0.95229,0.89553,0.93253,0.63354,1.44515,0.78809,1.38136,0.0087724,0.0087724,0.0087724
64,124.353,1.46379,0.80622,1.25137,0.95029,0.88677,0.92586,0.63081,1.42279,0.7858,1.38251,0.0087526,0.0087526,0.0087526
65,126.115,1.46581,0.79313,1.24594,0.95647,0.89426,0.9292,0.64493,1.38531,0.76298,1.37875,0.0087328,0.0087328,0.0087328
66,127.881,1.45023,0.79959,1.25252,0.95672,0.90017,0.93507,0.63619,1.40168,0.77007,1.36781,0.008713,0.008713,0.008713
67,129.639,1.43894,0.80376,1.24527,0.95319,0.90146,0.93243,0.63027,1.4071,0.76484,1.37455,0.0086932,0.0086932,0.0086932
68,131.405,1.43736,0.78671,1.24897,0.95189,0.89867,0.92867,0.63386,1.40971,0.78246,1.37832,0.0086734,0.0086734,0.0086734
69,133.184,1.45362,0.79047,1.24897,0.96262,0.8915,0.92851,0.62706,1.42884,0.78343,1.38284,0.0086536,0.0086536,0.0086536
70,134.953,1.44041,0.77746,1.23847,0.95571,0.90041,0.935,0.63236,1.41297,0.74953,1.36193,0.0086338,0.0086338,0.0086338
71,136.727,1.44645,0.78639,1.24845,0.95358,0.89449,0.92908,0.61452,1.45196,0.79245,1.38356,0.008614,0.008614,0.008614
72,138.498,1.43207,0.77355,1.23246,0.96301,0.89701,0.93306,0.64417,1.41085,0.76414,1.37203,0.0085942,0.0085942,0.0085942
73,140.263,1.43005,0.78097,1.22076,0.9508,0.88654,0.92372,0.6099,1.46992,0.78738,1.39654,0.0085744,0.0085744,0.0085744
74,142.023,1.41468,0.77483,1.22757,0.96122,0.89455,0.93748,0.65513,1.37727,0.73633,1.35507,0.0085546,0.0085546,0.0085546
75,143.794,1.4274,0.77207,1.23175,0.96205,0.90529,0.93578,0.64311,1.41293,0.75379,1.36073,0.0085348,0.0085348,0.0085348
76,145.559,1.40973,0.7534,1.23794,0.95849,0.90087,0.92891,0.63967,1.41122,0.77525,1.36711,0.008515,0.008515,0.008515
77,147.337,1.42445,0.75888,1.23175,0.9544,0.89371,0.93076,0.63523,1.4265,0.76604,1.37666,0.0084952,0.0084952,0.0084952
