epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.3855,5.80149,4.99305,4.23367,0,0,0,0,5.81441,4.30913,4.15815,8.574e-05,8.574e-05,8.574e-05
2,11.9758,5.73227,4.5421,4.11383,0,0,0,0,5.81052,4.27648,4.15067,0.000185402,0.000185402,0.000185402
3,17.5376,5.48226,3.6927,3.83573,0,0,0,0,5.80354,4.22329,4.14139,0.000284668,0.000284668,0.000284668
4,22.819,4.67073,2.8847,3.60052,0,0,0,0,5.80377,4.12571,4.14425,0.000383538,0.000383538,0.000383538
5,28.0231,4.15297,2.42801,3.31042,0,0,0,0,5.82526,4.23141,4.17291,0.000482012,0.000482012,0.000482012
6,33.2392,3.57271,2.11362,2.95241,0,0,0,0,5.83375,4.27385,4.1838,0.00058009,0.00058009,0.00058009
7,38.481,3.11877,1.9054,2.7463,0,0,0,0,5.87849,4.33105,4.25011,0.000677771,0.000677771,0.000677771
8,43.7537,2.9577,1.78541,2.55965,0,0,0,0,5.79259,4.11829,4.10547,0.000775057,0.000775057,0.000775057
9,48.9526,2.77578,1.72135,2.39172,0,0,0,0,5.74351,3.93685,4.21202,0.000871946,0.000871946,0.000871946
10,54.197,2.54177,1.53432,2.21606,0.00033,0.01126,0.00022,7e-05,5.34178,3.33584,10.7703,0.000968439,0.000968439,0.000968439
11,59.9565,2.45136,1.49371,2.12419,0.00186,0.00254,0.00142,0.00046,5.6419,4.25269,12.5952,0.00106454,0.00106454,0.00106454
12,65.2304,2.38667,1.43695,2.06988,0.00817,0.0029,0.00202,0.00063,5.2701,5.76879,5.86248,0.00116024,0.00116024,0.00116024
13,70.4607,2.25994,1.38195,1.98199,0.00607,0.00363,0.00041,9e-05,5.43846,3.87852,6.5382,0.00125554,0.00125554,0.00125554
14,75.5865,2.14117,1.27588,1.87629,0.68732,0.01271,0.00256,0.00069,4.84328,3.99147,3.8608,0.00135045,0.00135045,0.00135045
15,80.7977,2.10946,1.23028,1.84417,0.76922,0.08351,0.05527,0.01617,3.26908,2.44395,2.83881,0.00138939,0.00138939,0.00138939
16,86.0019,2.03026,1.15586,1.7556,0.72193,0.28987,0.27196,0.11839,2.71195,1.70525,2.43253,0.00138656,0.00138656,0.00138656
17,91.1964,2.03549,1.1566,1.74094,0.45055,0.32503,0.3536,0.15979,2.51811,1.53419,2.35663,0.00138373,0.00138373,0.00138373
18,96.4091,1.92953,1.07884,1.66865,0.42916,0.5363,0.50699,0.23978,2.04323,1.29861,1.99855,0.0013809,0.0013809,0.0013809
19,101.642,1.91911,1.06339,1.62944,0.84378,0.47342,0.50643,0.27196,1.90954,1.3921,1.91137,0.00137807,0.00137807,0.00137807
20,106.817,1.87295,1.0748,1.62778,0.83145,0.40807,0.44211,0.20476,2.3035,1.4564,2.07697,0.00137524,0.00137524,0.00137524
21,112.655,1.79624,1.01109,1.57889,0.8687,0.54963,0.56426,0.31343,2.01297,1.18741,1.89004,0.00137241,0.00137241,0.00137241
22,117.814,1.7365,0.97214,1.50961,0.90342,0.56937,0.60293,0.32905,1.74361,1.08224,1.70747,0.00136958,0.00136958,0.00136958
23,122.962,1.74982,0.99805,1.51207,0.93548,0.60219,0.62251,0.39302,1.64976,0.95071,1.62397,0.00136675,0.00136675,0.00136675
24,128.112,1.67791,0.94441,1.45714,0.94238,0.57952,0.61365,0.3513,1.7506,0.92501,1.68094,0.00136392,0.00136392,0.00136392
25,133.206,1.62246,0.91964,1.43624,0.59367,0.60022,0.63511,0.3892,1.64508,0.90631,1.57812,0.00136109,0.00136109,0.00136109
26,138.328,1.67466,0.92073,1.43579,0.94697,0.6002,0.63453,0.40709,1.65799,0.91565,1.62744,0.00135826,0.00135826,0.00135826
27,143.496,1.60453,0.89466,1.41123,0.88783,0.6068,0.63688,0.37668,1.68223,0.91347,1.63636,0.00135544,0.00135544,0.00135544
28,148.566,1.605,0.88657,1.3835,0.6196,0.60015,0.62882,0.37853,1.745,1.02204,1.59634,0.00135261,0.00135261,0.00135261
29,153.654,1.60484,0.88345,1.35982,0.61636,0.59792,0.64396,0.43318,1.45667,0.87508,1.43584,0.00134978,0.00134978,0.00134978
30,158.826,1.58371,0.86356,1.36145,0.93012,0.61054,0.64564,0.42447,1.49438,0.84414,1.44111,0.00134695,0.00134695,0.00134695
31,163.954,1.53134,0.86263,1.33985,0.62828,0.61184,0.64568,0.41924,1.47749,0.8035,1.42769,0.00134412,0.00134412,0.00134412
32,169.041,1.50869,0.8153,1.31438,0.62921,0.61677,0.63908,0.42985,1.48508,0.78706,1.45683,0.00134129,0.00134129,0.00134129
33,174.115,1.55342,0.82615,1.34161,0.62621,0.61211,0.63527,0.40819,1.62914,0.84619,1.49503,0.00133846,0.00133846,0.00133846
34,179.182,1.4996,0.81642,1.31305,0.64623,0.62583,0.64783,0.44998,1.40903,0.75391,1.39331,0.00133563,0.00133563,0.00133563
35,184.376,1.51506,0.80233,1.30106,0.63649,0.62458,0.64505,0.43716,1.46931,0.80817,1.41204,0.0013328,0.0013328,0.0013328
36,189.516,1.46598,0.78864,1.29716,0.63587,0.63065,0.64479,0.43075,1.5641,0.78478,1.47985,0.00132997,0.00132997,0.00132997
37,194.673,1.49595,0.79151,1.27811,0.64454,0.62309,0.6458,0.44226,1.48651,0.75437,1.40076,0.00132714,0.00132714,0.00132714
38,199.804,1.47864,0.79212,1.27184,0.64166,0.6289,0.64575,0.44245,1.48457,0.75845,1.39781,0.00132431,0.00132431,0.00132431
39,204.847,1.48978,0.80879,1.28962,0.61002,0.6207,0.64969,0.44818,1.40683,0.75868,1.35065,0.00132148,0.00132148,0.00132148
40,209.926,1.47499,0.79093,1.26624,0.64357,0.62455,0.64805,0.44022,1.47542,0.73591,1.42172,0.00131865,0.00131865,0.00131865
41,215.056,1.47152,0.77391,1.27668,0.59894,0.58498,0.63838,0.41864,1.63838,0.83852,1.47579,0.00131582,0.00131582,0.00131582
42,220.181,1.45335,0.76997,1.26149,0.63368,0.62699,0.64432,0.44328,1.46836,0.8184,1.39637,0.00131299,0.00131299,0.00131299
43,225.306,1.40438,0.73241,1.23378,0.64394,0.63519,0.64911,0.44547,1.43668,0.70167,1.3668,0.00131016,0.00131016,0.00131016
44,230.364,1.42342,0.74671,1.2661,0.64981,0.63181,0.65265,0.43992,1.47969,0.69301,1.4102,0.00130733,0.00130733,0.00130733
45,235.534,1.42286,0.73794,1.23428,0.63743,0.62946,0.6476,0.44341,1.487,0.70331,1.40123,0.00130451,0.00130451,0.00130451
46,240.587,1.41633,0.73664,1.23333,0.64309,0.62735,0.64774,0.42833,1.53123,0.74216,1.40744,0.00130168,0.00130168,0.00130168
47,245.651,1.40981,0.73622,1.22807,0.63608,0.62264,0.64385,0.43721,1.52014,0.73849,1.4108,0.00129885,0.00129885,0.00129885
