epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.199,0.17967,224.017,0.10471,0,0,0,0,0.31234,432.359,0.18016,0.00026,0.00026,0.00026
2,780.555,0.0452,167.737,0.02524,0,0,0,0,0.34696,402.856,0.19712,0.000534654,0.000534654,0.000534654
3,1162.47,0.06794,124.746,0.033,0,0,0,0,0.66192,285.17,0.346,0.000803764,0.000803764,0.000803764
4,1538.1,0.63691,103.194,0.27433,0,0,0,0,1.00057,192.387,0.49966,0.00106733,0.00106733,0.00106733
5,1911.8,2.32285,87.4745,0.79213,0,0,0,0,4.07197,159.501,1.7727,0.00132535,0.00132535,0.00132535
6,2282.65,3.84839,63.7676,1.25379,0,0,0,0,1.6322,133.96,0.71083,0.00157783,0.00157783,0.00157783
7,2665.78,4.14306,40.3019,1.51072,0,0,0,0,4.29482,17.8986,1.59082,0.00182476,0.00182476,0.00182476
8,3046.8,4.295,21.6282,1.37056,0,0,0,0,4.09577,10.5572,1.4924,0.0018614,0.0018614,0.0018614
9,3426.15,4.08535,13.9581,1.36459,0,0,0,0,4.16332,11.8501,1.56423,0.0018416,0.0018416,0.0018416
10,3798.63,4.22336,10.9246,1.26438,0,0,0,0,4.43925,18.6264,1.56237,0.0018218,0.0018218,0.0018218
11,4179.44,4.45867,9.88725,1.31622,0,0,0,0,0.02534,3885.51,0.05771,0.001802,0.001802,0.001802
12,4562.73,4.12379,7.85599,1.36111,0,0,0,0,0.02212,55.1331,0.01555,0.0017822,0.0017822,0.0017822
13,4948.58,4.15578,7.06649,1.28403,0,0,0,0,4.60628,12.778,1.64449,0.0017624,0.0017624,0.0017624
14,5331.66,3.95128,5.92915,1.26855,0.00137,0.13924,0.00083,0.00026,3.6084,22.8096,1.43498,0.0017426,0.0017426,0.0017426
15,5724.86,3.6238,5.17106,1.19511,0.0006,0.01266,0.00031,3e-05,3.93106,14.1165,1.55409,0.0017228,0.0017228,0.0017228
16,6104.72,3.26875,4.34817,1.16857,0.00634,0.11392,0.03037,0.00746,3.16429,4.58129,1.49191,0.001703,0.001703,0.001703
17,6483.73,3.17273,3.83187,1.13128,0.05219,0.16456,0.01897,0.00584,3.18362,5.3612,1.23748,0.0016832,0.0016832,0.0016832
18,6861.98,3.04356,3.65181,1.08268,0.06644,0.29114,0.03672,0.01028,3.13744,3.54359,1.23302,0.0016634,0.0016634,0.0016634
19,7234.3,2.92017,3.52535,1.05628,0.19816,0.16456,0.12813,0.04208,2.67573,3.05833,1.12378,0.0016436,0.0016436,0.0016436
20,7600.69,2.81735,3.46476,1.04403,0.25115,0.24051,0.19452,0.07188,2.55797,2.90489,1.09173,0.0016238,0.0016238,0.0016238
21,7986.53,2.9772,3.45982,1.0678,0.33619,0.17955,0.16774,0.06866,2.73964,2.9548,1.10752,0.001604,0.001604,0.001604
22,8371.33,2.81104,3.09964,1.01646,0.70976,0.21674,0.36111,0.15041,2.31165,2.78384,1.04713,0.0015842,0.0015842,0.0015842
23,8744.91,2.82744,3.41099,1.02436,0.33112,0.2319,0.23308,0.08458,2.49404,2.65016,1.08127,0.0015644,0.0015644,0.0015644
24,9130.5,2.78225,3.26433,1.04588,0.44258,0.25316,0.23073,0.09727,2.47918,2.7594,1.07716,0.0015446,0.0015446,0.0015446
25,9514.01,2.76652,3.06985,1.0203,0.38194,0.29114,0.27316,0.11247,2.26058,2.44776,1.02101,0.0015248,0.0015248,0.0015248
26,9908.33,2.6952,3.06687,0.97742,0.41594,0.27947,0.32437,0.13474,2.23123,2.40788,1.03332,0.001505,0.001505,0.001505
27,10278.1,2.61588,3.0133,1.00189,0.33554,0.20253,0.20157,0.07622,2.59928,2.81352,1.09768,0.0014852,0.0014852,0.0014852
28,10654.7,2.48291,2.81577,0.95766,0.83335,0.2532,0.37301,0.10305,2.61323,2.8182,1.12001,0.0014654,0.0014654,0.0014654
29,11037.6,2.57564,2.91102,0.96029,0.42683,0.35443,0.36471,0.12748,2.5308,2.30971,1.08415,0.0014456,0.0014456,0.0014456
30,11401.5,2.51855,2.61611,0.96579,0.43682,0.37975,0.38848,0.12929,2.43738,2.1893,1.06304,0.0014258,0.0014258,0.0014258
31,11773.5,2.43884,2.56439,0.95997,0.67457,0.24051,0.27016,0.08484,2.79514,2.49849,1.12791,0.001406,0.001406,0.001406
32,12145,2.49152,2.58343,0.9435,0.73672,0.38968,0.49547,0.19555,2.28918,2.14045,1.04461,0.0013862,0.0013862,0.0013862
33,12524.4,2.43337,2.4697,0.98177,0.69341,0.43038,0.47967,0.19398,2.19702,2.01762,1.01387,0.0013664,0.0013664,0.0013664
34,12914.4,2.41682,2.46402,0.96457,0.76381,0.35443,0.4752,0.19619,2.2106,2.07407,1.02067,0.0013466,0.0013466,0.0013466
35,13289.5,2.38788,2.33652,0.94112,0.51831,0.39503,0.44241,0.20539,2.12392,2.11434,1.01163,0.0013268,0.0013268,0.0013268
36,13663.4,2.30206,2.38105,0.94066,0.80687,0.34177,0.46845,0.18486,2.25476,1.9475,1.04415,0.001307,0.001307,0.001307
37,14039.3,2.46713,2.43381,0.96979,0.70366,0.45091,0.5114,0.21267,2.15923,1.87516,1.00998,0.0012872,0.0012872,0.0012872
38,14416.3,2.3885,2.37312,0.96466,0.67058,0.31646,0.42918,0.18749,2.10964,2.44377,1.00538,0.0012674,0.0012674,0.0012674
39,14797.6,2.38748,2.32223,0.94343,0.49312,0.39241,0.32002,0.13668,2.11936,2.38927,1.00681,0.0012476,0.0012476,0.0012476
40,15164.1,2.29478,2.23072,0.93854,0.63803,0.51899,0.5748,0.25225,2.09733,1.72139,1.00182,0.0012278,0.0012278,0.0012278
41,15536.9,2.2134,2.09452,0.93382,0.68451,0.44304,0.50632,0.21199,2.19936,1.8294,1.01102,0.001208,0.001208,0.001208
42,15915.5,2.18485,2.07754,0.92068,0.73115,0.43038,0.55757,0.23837,2.13143,1.66993,1.00809,0.0011882,0.0011882,0.0011882
43,16281.7,2.25263,2.18253,0.94396,0.82392,0.40506,0.50741,0.1935,2.39708,1.83615,1.04636,0.0011684,0.0011684,0.0011684
44,16653.1,2.24876,2.16636,0.90544,0.79109,0.48101,0.60256,0.25533,2.10677,1.64361,0.99886,0.0011486,0.0011486,0.0011486
45,17012.9,2.26315,2.11785,0.9176,0.57111,0.51899,0.57793,0.26006,2.03839,1.56801,0.99574,0.0011288,0.0011288,0.0011288
46,17376.4,2.29533,1.99282,0.90974,0.69049,0.48101,0.53754,0.20172,2.51542,1.87857,1.0879,0.001109,0.001109,0.001109
47,17746.4,2.31082,2.04504,0.91487,0.78023,0.48101,0.62637,0.24626,2.27483,1.62652,1.02329,0.0010892,0.0010892,0.0010892
48,18101.1,2.24021,2.12361,0.91993,0.76466,0.46835,0.58075,0.25552,2.13104,1.64613,0.99637,0.0010694,0.0010694,0.0010694
49,18472.1,2.21901,2.08428,0.93294,0.75536,0.53165,0.63757,0.27983,2.03352,1.56262,0.98169,0.0010496,0.0010496,0.0010496
50,18835.9,2.21761,1.95299,0.92731,0.7651,0.49367,0.60927,0.25615,2.21224,1.68652,1.00469,0.0010298,0.0010298,0.0010298
51,19196.5,2.25833,1.94015,0.93124,0.60306,0.53165,0.58614,0.24606,2.15381,1.50516,1.01036,0.00101,0.00101,0.00101
52,19555.3,2.17877,1.93198,0.92222,0.67178,0.51899,0.63692,0.30243,1.90402,1.52001,0.97964,0.0009902,0.0009902,0.0009902
53,19918.1,2.19903,1.85563,0.93357,0.71367,0.58228,0.67293,0.30601,2.0188,1.46114,0.98675,0.0009704,0.0009704,0.0009704
54,20279.5,2.05285,1.75062,0.92383,0.67713,0.5575,0.63537,0.287,2.13282,1.47623,0.99545,0.0009506,0.0009506,0.0009506
55,20653.7,2.14641,1.76519,0.90405,0.78397,0.59722,0.68006,0.33003,1.96286,1.44058,0.97963,0.0009308,0.0009308,0.0009308
56,21015.7,2.19842,1.96822,0.91178,0.6854,0.56962,0.60269,0.265,2.18489,1.48376,1.00911,0.000911,0.000911,0.000911
57,21375.4,2.16977,1.98447,0.92326,0.72868,0.53165,0.64511,0.29941,2.02568,1.43964,0.992,0.0008912,0.0008912,0.0008912
58,21737.7,2.14347,1.94297,0.93923,0.75769,0.5146,0.64851,0.30026,1.94879,1.37878,0.98538,0.0008714,0.0008714,0.0008714
59,22091.5,2.12552,1.81762,0.90271,0.84674,0.44304,0.62527,0.26631,2.12678,1.64991,1.01076,0.0008516,0.0008516,0.0008516
60,22452.6,2.1586,1.87129,0.90566,0.70865,0.56962,0.61504,0.25174,2.23681,1.5346,1.01428,0.0008318,0.0008318,0.0008318
61,22814.6,2.08081,1.76783,0.91866,0.67652,0.55595,0.61429,0.28255,2.08496,1.38354,0.99075,0.000812,0.000812,0.000812
62,23177.1,2.10279,1.74224,0.91889,0.60722,0.51899,0.57075,0.24098,2.21373,1.52351,1.00997,0.0007922,0.0007922,0.0007922
63,23543,2.28401,1.88704,0.91048,0.69822,0.4686,0.57221,0.2751,2.09405,1.6471,0.98596,0.0007724,0.0007724,0.0007724
64,23918.9,2.12485,1.82237,0.90014,0.83633,0.36709,0.50267,0.2094,2.2623,1.56362,1.01916,0.0007526,0.0007526,0.0007526
